Input	Target	Prediction
Add Item	Agregar Artículo	Agregar Artículo
Is the user required to capture the weight of a packed shipping container?	¿Se requiere que el usuario capture el peso de un contenedor de envío empaquetado?	¿Se requiere que el usuario capture el peso de un contenedor de envío empaquetado?
Error Code	Código de Error	Código de Error
Will the application record a history of LPN attributes when inventory is received with an order?	¿Registrará la aplicación un historial de los atributos de LPN cuando se reciba inventario con una orden?	¿Se registrará la aplicación un historial de los atributos de LPN cuando se reciba inventario con una orden?
End Day Code	Código de Fin de Día	Código de Fin de Día
Load Picks	Cargar Surtidos	Cargar Surtidos
Cancel Batch	Cancelar Lote	Cancelar Lote
Do you need to use a customized RF form at completion of the cartonized picks?	¿Necesita usar un formulario RF personalizado al completar los surtidos cartonizados?	¿Necesita usar un formulario RF personalizado al completar los surtidos cartonizados?
Return Customer	Comprador de Devolución	Comprador de Devolución
Invalid CRUD Actions configured for custom grid page [{0}]	Acciones CRUD inválidas configuradas para la página de cuadrícula personalizada [{0}]	Acciones CRUD inválidas configuradas para la página de cuadrícula personalizada [{0}]
Configuration/Shipping Carrier Selection	Configuración/Selección Transportista de Envío	Configuración/Selección Transportista de Envío
Assignments:	Asignaciones:	Asignaciones:
Do you want to release picks?	¿Desea liberar surtidos?	¿Desea liberar surtidos?
Reprocess failed!	¡El reprocesamiento falló!	¡El reprocesamiento falló!
Do you want to delete the current appointment or the recurring series?	¿Quiere eliminar la cita actual o la serie recurrente?	¿Quiere eliminar la cita actual o la serie recurrente?
Inventory Attribute Text 15	Texto de Atributo de Inventario 15	Atributo de Inventario - Texto 15
Do you want to release picks in advance of a ship date based on the labor required to perform the pick work?	¿Quieres liberar los surtidos con antelación a la fecha de envío en función de la mano de obra requerida para realizar el trabajo de surtido?	¿Desea liberar los surtidos con antelación a la fecha de envío en función de la mano de obra requerida para realizar el trabajo de surtido?
Source Warehouse	Almacén de Origen	Almacén de Origen
Allow RF operators to create new transport equipment on a Mobile Device?	¿Permitir que los operadores de RF creen un nuevo equipo de transporte en un Dispositivo Móvil?	¿Permitir que los operadores de RF creen un nuevo equipo de transporte en un Dispositivo Móvil?
Add Criteria	Agregar Criterio	Agregar Criterio
Rec Qty	Cant Rec	Cant Rec
Inbound Optimal Door Assignment	Asignación de Puerta Óptima de Entrada	Asignación de Puerta Óptima de Entrada
Replenishment Settings	Configuración de Reabasto	Configuración de Reabasto
Available Staging Lanes	Carriles de Stage Disponibles	Carriles de Stage Disponibles
On-Hand Quantity	Cantidad Disponible	Cantidad Disponible
Inventory Attribute Text 13	Atributo de Inventario - Texto 13	Atributo de Inventario - Texto 13
File Category	Categoría de Archivo	Categoría de Archivo
Do you want to use emergency replenishments?	¿Desea utilizar reabastos de emergencia?	¿Desea utilizar reabastos de emergencia?
Add New External System	Agregar Nuevo Sistema Externo	Agregar Nuevo Sistema Externo
Cancel Plan Wave	Cancelar Plan de Ola	Cancelar Plan de Ola
Domestic Long Distance Access Code	Código de Acceso de Larga Distancia Nacional	Código de Acceso de Larga Distancia Nacional
Block End	Fin de Bloqueo	Fin de Bloque
Labor Assignments	Asignaciones de Mano de Obra	Listas de Surtido
Add a new Cartonization Group by clicking on the Add Group button below.	Agregar un nuevo Grupo de Cartonización haciendo clic en el botón Agregar Grupo a continuación.	Agregar un nuevo Grupo de Cartonización haciendo clic en el botón Agregar Grupo a continuación.
Storage Settings	Configuración de Almacenamiento	Configuración de Almacenamiento
Complete Work Order	Completar Orden de Trabajo	Completar Orden de Trabajo
Complete Container	Completar Contenedor	Completar Contenedor
Exceptional Low	Bajo Excepcional	Bajo Excepcional
Master BOL	Carta Porte (BOL) Maestro	Carta Porte (BOL) Maestro
Ship To Customer/Address	Comprador Destino de Envío/Dirección	Comprador Destino de Envío/Dirección
Slot Lookup	Búsqueda de Posición	Búsqueda de Posición
Action Taken	Acción Tomada	Acción Tomada
VAT Code	Código VAT	Código VAT
Allowed Cancellations	Cancelaciones Permitidas	Cancelaciones Permitidas
Reprint Command Parameter	Comando de Reimpresión Parámetro	Parámetro del Comando Volver a Imprimir
Are you sure you want to close current handling unit?	¿Está seguro de que desea cerrar la unidad de manejo actual?	¿Está seguro de que quiere cerrar la unidad de manejo actual?
Disassembly Catch Quantity	Cantidad Variable de Desarmado	Cantidad Variable de Desarmado
Count Back User Settings	Configuración de Usuario de Conteo Retroactivo	Configuración de Usuario de Conteo Retroactivo
Count Catch Quantity	Conteo de Cantidad de Captura	Conteo de Cantidad de Captura
Are you sure you want to cancel the outbound order?	¿Está seguro de que desea cancelar la orden saliente?	¿Está seguro de que desea cancelar la orden saliente?
Payment Terms	Términos de Pago	Términos de Pago
Do you want the Cycle Count released?	¿Desea liberar el Conteo Cíclico?	¿Desea liberar el Conteo Cíclico?
Assign Locations to Count Zone	Asignar Ubicaciones a la Zona de Conteos	Asignar Ubicaciones a Zona de Conteos
Close Manifest	Cerrar Manifiesto	Cerrar Manifiesto
Should the system evaluate the list of eligible staging lanes after each pick is released?	¿Debe el sistema evaluar la lista de stages elegibles después de liberar cada surtido?	¿Debe el sistema evaluar la lista de carriles de stage elegibles después de que se libera cada surtido?
Which cancel code should appear as the default cancel code when cancelling a pick?	¿Qué código de cancelación debería aparecer como el código de cancelación predeterminado cuando se cancele un surtido?	¿Qué código de cancelación debería aparecer como el código de cancela predeterminado cuando se cancele un surtido?
Is inventory outside of the four walls allowed to be received?	¿Está permitido recibir inventario fuera de las cuatro paredes?	¿Está permitido recibir inventario fuera de las cuatro paredes?
Should the system track revision numbers for this item?	¿Debería el sistema darle seguimiento a los números de revisión para este artículo?	¿Debería el sistema darle seguimiento a los números de revisión para este artículo?
Check Out	Check Out	Check Out
Policy Code	Código de Política	Código de Política
