epoch,step,loss,learning_rate,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second
0.02,50,1.4511,0.0,,,,
0.05,100,1.3697,0.0,,,,
0.07,150,1.3688,0.0,,,,
0.09,200,1.1963,0.0,,,,
0.12,250,1.1313,0.0,,,,
0.14,300,1.049,0.0,,,,
0.16,350,0.9933,0.0,,,,
0.19,400,0.9919,0.0,,,,
0.21,450,0.9746,0.0,,,,
0.24,500,0.8736,0.0,,,,
0.26,550,0.8921,0.0,,,,
0.28,600,0.833,0.0,,,,
0.31,650,0.8359,0.0,,,,
0.33,700,0.785,0.0,,,,
0.35,750,0.8169,0.0,,,,
0.38,800,0.79,0.0,,,,
0.4,850,0.7537,0.0,,,,
0.42,900,0.7302,0.0,,,,
0.45,950,0.71,0.0,,,,
0.47,1000,0.7114,0.0,,,,
0.49,1050,0.7083,0.0,,,,
0.52,1100,0.6811,0.0,,,,
0.54,1150,0.6901,0.0,,,,
0.57,1200,0.6651,0.0,,,,
0.59,1250,0.6777,0.0,,,,
0.61,1300,0.6503,0.0,,,,
0.64,1350,0.6763,0.0,,,,
0.66,1400,0.6355,0.0,,,,
0.68,1450,0.6458,1e-05,,,,
0.71,1500,0.6021,1e-05,,,,
0.73,1550,0.6232,1e-05,,,,
0.75,1600,0.6407,1e-05,,,,
0.78,1650,0.6019,1e-05,,,,
0.8,1700,0.6251,1e-05,,,,
0.82,1750,0.5907,1e-05,,,,
0.85,1800,0.5875,1e-05,,,,
0.87,1850,0.5607,1e-05,,,,
0.9,1900,0.5649,1e-05,,,,
0.92,1950,0.5627,1e-05,,,,
0.94,2000,0.5592,1e-05,,,,
0.97,2050,0.5788,1e-05,,,,
0.99,2100,0.5752,1e-05,,,,
1.01,2150,0.5132,1e-05,,,,
1.04,2200,0.4998,1e-05,,,,
1.06,2250,0.5054,1e-05,,,,
1.08,2300,0.5008,1e-05,,,,
1.11,2350,0.5459,1e-05,,,,
1.13,2400,0.5178,1e-05,,,,
1.15,2450,0.5148,1e-05,,,,
1.18,2500,0.4924,1e-05,,,,
1.2,2550,0.4646,1e-05,,,,
1.23,2600,0.5348,1e-05,,,,
1.25,2650,0.4793,1e-05,,,,
1.27,2700,0.4792,1e-05,,,,
1.3,2750,0.4692,1e-05,,,,
1.32,2800,0.5004,1e-05,,,,
1.34,2850,0.4681,1e-05,,,,
1.37,2900,0.4591,1e-05,,,,
1.39,2950,0.4738,1e-05,,,,
1.41,3000,0.4764,1e-05,,,,
1.44,3050,0.4692,1e-05,,,,
1.46,3100,0.4973,1e-05,,,,
1.48,3150,0.4545,1e-05,,,,
1.51,3200,0.4554,1e-05,,,,
1.53,3250,0.4662,1e-05,,,,
1.56,3300,0.48,1e-05,,,,
1.58,3350,0.4565,1e-05,,,,
1.6,3400,0.4538,1e-05,,,,
1.63,3450,0.4377,1e-05,,,,
1.65,3500,0.4404,1e-05,,,,
1.67,3550,0.477,1e-05,,,,
1.7,3600,0.4317,1e-05,,,,
1.72,3650,0.466,1e-05,,,,
1.74,3700,0.4723,1e-05,,,,
1.77,3750,0.4382,1e-05,,,,
1.79,3800,0.4363,1e-05,,,,
1.81,3850,0.4322,1e-05,,,,
1.84,3900,0.3963,1e-05,,,,
1.86,3950,0.4366,1e-05,,,,
1.89,4000,0.428,1e-05,,,,
1.91,4050,0.4493,1e-05,,,,
1.93,4100,0.418,1e-05,,,,
1.96,4150,0.4207,1e-05,,,,
1.98,4200,0.4224,1e-05,,,,
2.0,4250,0.4176,2e-05,,,,
2.03,4300,0.3726,2e-05,,,,
2.05,4350,0.3755,2e-05,,,,
2.07,4400,0.3727,2e-05,,,,
2.1,4450,0.3739,2e-05,,,,
2.12,4500,0.3869,2e-05,,,,
2.14,4550,0.3786,2e-05,,,,
2.17,4600,0.3635,2e-05,,,,
2.19,4650,0.3821,2e-05,,,,
2.21,4700,0.3623,2e-05,,,,
2.24,4750,0.3893,2e-05,,,,
2.26,4800,0.3666,2e-05,,,,
2.29,4850,0.3574,2e-05,,,,
2.31,4900,0.3805,2e-05,,,,
2.33,4950,0.3558,2e-05,,,,
2.36,5000,0.3581,2e-05,,,,
2.36,5000,,,0.38101,165.2878,176.02,44.008
2.38,5050,0.3593,2e-05,,,,
2.4,5100,0.3533,2e-05,,,,
2.43,5150,0.3772,2e-05,,,,
2.45,5200,0.3567,2e-05,,,,
2.47,5250,0.3607,2e-05,,,,
